,Inhibitory neurons,Granule neurons,ENS neurons,Smooth muscle cells,Vascular endothelial cells,Stromal cells,Ciliated epithelial cells,Bronchiolar and alveolar epithelial cells,STC2_TLX1 positive cells,Syncytiotrophoblasts and villous cytotrophoblasts,Excitatory neurons,Erythroblasts
TFORF2454-IRF3,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.0,0.0,0.14285714285714285
TFORF1936-MEIS2,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.0,0.0,0.2857142857142857
TFORF0148-THAP4,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.0,0.23529411764705882,0.23529411764705882,0.0,0.0,0.29411764705882354
TFORF2497-ASCL1,0.0,0.0,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.3333333333333333,0.19047619047619047,0.047619047619047616,0.0,0.0,0.14285714285714285
TFORF0379-SMARCA2,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.25,0.08333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666
TFORF0402-ZNF3,0.26666666666666666,0.0,0.0,0.0,0.0,0.13333333333333333,0.4,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667
TFORF1710-CBFB,0.2,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.0,0.0,0.13333333333333333
TFORF2290-HES6,0.11764705882352941,0.0,0.0,0.23529411764705882,0.0,0.0,0.11764705882352941,0.23529411764705882,0.11764705882352941,0.0,0.058823529411764705,0.11764705882352941
TFORF0205-DBP,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.23076923076923078,0.0,0.07692307692307693,0.0,0.0,0.38461538461538464
TFORF2691-TEAD2,0.35294117647058826,0.0,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.0,0.0,0.0,0.17647058823529413
TFORF0890-ING4,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333
TFORF1364-ELOF1,0.07692307692307693,0.0,0.15384615384615385,0.07692307692307693,0.0,0.0,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.0,0.0,0.15384615384615385
TFORF2672-CHURC1,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.125,0.0,0.0,0.125
TFORF1215-NME2,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.625,0.25,0.0,0.0,0.0
TFORF1389-PMS1,0.13333333333333333,0.0,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.2,0.0,0.0,0.3333333333333333
TFORF2725-ZNF74,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.0,0.26666666666666666
TFORF1149-HOXA1,0.16666666666666666,0.0,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.25
TFORF1146-HOXA4,0.0,0.0,0.0,0.07142857142857142,0.0,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857
TFORF1452-DLX1,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.23076923076923078,0.15384615384615385,0.0,0.0,0.3076923076923077
TFORF2665-ZBED2,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.0,0.0,0.3076923076923077
TFORF3451-ZNF366,0.045454545454545456,0.0,0.045454545454545456,0.3181818181818182,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.18181818181818182,0.0,0.0,0.13636363636363635
TFORF1514-NKX3-1,0.0,0.0,0.125,0.1875,0.0,0.0625,0.25,0.25,0.0,0.0,0.0,0.125
TFORF1262-TP53,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.25,0.16666666666666666,0.0,0.08333333333333333,0.0,0.3333333333333333
TFORF0947-EMX2,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.0,0.0,0.18181818181818182
TFORF1544-ZNF160,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.0,0.0,0.18181818181818182
TFORF0955-CDIP1,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693,0.23076923076923078
TFORF2232-EHF,0.23076923076923078,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.0,0.38461538461538464
TFORF0047-MAX,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.08333333333333333,0.0,0.08333333333333333,0.3333333333333333
TFORF2372-ZNF468,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.0,0.23529411764705882,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.0,0.23529411764705882
TFORF2385-MBD3,0.0,0.0,0.06666666666666667,0.26666666666666666,0.0,0.13333333333333333,0.06666666666666667,0.2,0.06666666666666667,0.0,0.0,0.2
TFORF0852-ZIC4,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
TFORF0254-CAMTA1,0.14285714285714285,0.0,0.07142857142857142,0.35714285714285715,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142
TFORF2254-HMGN3,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.3333333333333333
TFORF2455-IRF3,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.0,0.0,0.35714285714285715
