,Pearson_r
CAP1,0.8590510978729563
CAP2,0.8513821487977213
CAPN13,0.8653993661130494
CAPN2,0.8601906204408832
CAPN6,0.89049039933219
CAPN8,0.7949058645533398
CAPN9,0.8907957833925999
CAPRIN2,0.8757907326247156
CARD14,0.9618547129839723
CARMN,0.8428424729409084
CASC17,0.8806362193319202
CASC2,0.8979082272938885
CASC20,0.8891195443711636
CASC9,0.8744504492574446
CASKIN1,0.9101856655275461
CAST,0.8609105489266097
CATSPERB,0.8967854895079141
CATSPERG,0.8879452853896431
CAV1,0.8169329345705424
CBFA2T2,0.8610360633156523
CBLB,0.8624428187969942
CBLN1,0.8287672563904656
CBR3-AS1,0.8396210456435592
CBSL,0.8815114314550676
CBX4,0.8751582906886899
CCAT1,0.838351858827288
CCBE1,0.8841613197808427
CCDC102B,0.8246210667982679
CCDC103,0.8947717596873843
CCDC14,0.86569862815544
CCDC141,0.8124582299681171
CCDC146,0.8682708256944758
CCDC15,0.8918768673806526
CCDC150,0.8663358194361044
CCDC170,0.867194759592395
CCDC178,0.877804131739419
CCDC30,0.8743373011566338
CCDC36,0.881625914828708
CCDC38,0.9061714687764427
CCDC60,0.8446721123701808
CCDC62,0.8870476428232522
CCDC7,0.5128848706575163
CCDC80,0.8790539381601514
CCDC81,0.8838994471032788
CCDC83,0.9092068043273234
CCDC85A,0.8554716246389275
CCDC90B,0.6569592694932268
CCDC91,0.809472178085356
CCDC92,0.9062020513562039
CCL2,0.8551413829040367
CCL26,0.8257993503387742
CCNB1,0.8548658597380207
CCND1,0.8020866148577626
CCND2,0.8057311978029765
CCNI,0.8552525600271408
CCNY,0.8635163584623806
CCSER1,0.8627473262389901
CD109,0.8664540669401234
CD160,0.8878123242186183
CD177,0.8665676628611775
CD200R1,0.8480547415801204
CD226,0.8293387993059332
CD247,0.8676597665441137
CD34,0.9050405977821974
CD36,0.8573647897408322
CD38,0.8484767850890551
CD44,0.8807997527218874
CD46,0.8048674131061125
CD48,0.8533902333524211
CD52,0.8254812389192463
CD53,0.885233346075249
CD55,0.86580762810002
CD63,0.852051140618899
CD70,0.9073752742437079
CD72,0.8186847856131299
CDC14B,0.8623574604021437
CDC20B,0.8731704362034922
CDC37,0.7214878563680479
CDC42,0.8656832235372433
CDC73,0.8678048967567181
CDCP1,0.8528211814964971
CDH10,0.7856428488354003
CDH11,0.8635224362850253
CDH12,0.8880061550567591
CDH13,0.8311871820162254
CDH15,0.8617397300241476
CDH18,0.8598164226502747
CDH19,0.9334275860700494
CDH2,0.8791010634952345
CDH20,0.9021775497447138
CDH4,0.8209730335544092
CDH6,0.8979953195936841
CDH7,0.8899433852625727
CDH8,0.8704258660766708
CDH9,0.8992114376261171
CDK13,0.853722930318256
CDK17,0.8781341541757871
CDK20,0.9292786886429913
CDK5RAP2,0.8669355033966059
CDK6,0.8533841867803472
CDK8,0.7967194486392556
CDON,0.7195540606281483
CDX2,0.7873776756139034
CEACAM21,0.8448204898284397
CECR7,0.8228405927718434
CELF2,0.7979855405763451
CELF3,0.909090532377683
CELF4,0.8658178179859976
CELF6,0.8940109492328225
CEMIP,0.8785109336692751
CENPK,0.8672559972738907
CENPU,0.7955278107876861
CENPW,0.8791543493267319
CEP112,0.8633110877273997
CEP128,0.8596550881940582
CEP192,0.8680228371057138
CER1,0.8405046999935868
CERKL,0.8399418319211673
CERS6-AS1,0.9214133107087127
CES1,0.8708928005099239
CFAP100,0.8335653520053894
CFAP43,0.8675774877139516
CFAP44,0.900766431587554
CFAP46,0.8858530799132531
CFAP47,0.8860298699352532
CFAP54,0.8613009600577936
